seed,method,solution,bin,lo,hi,count,mean_score,empirical_membership,abs_error
0,rank_centrality,UC,1,0.1,0.2,3,0.16269379286426988,0.0,0.16269379286426988
0,rank_centrality,UC,2,0.2,0.30000000000000004,3,0.2361489965287075,0.0,0.2361489965287075
0,rank_centrality,UC,3,0.30000000000000004,0.4,1,0.31245207141158476,0.0,0.31245207141158476
0,rank_centrality,UC,4,0.4,0.5,2,0.4563632983961202,0.0,0.4563632983961202
0,rank_centrality,UC,6,0.6000000000000001,0.7000000000000001,1,0.6701366702429294,1.0,0.32986332975707056
0,rank_centrality,UC,8,0.8,0.9,1,0.8588010261392878,1.0,0.14119897386071223
0,rank_centrality,UC,9,0.9,1.0,1,1.0,1.0,0.0
0,hodge,UC,0,0.0,0.1,1,0.0,0.0,0.0
0,hodge,UC,1,0.1,0.2,2,0.1447398806214545,0.0,0.1447398806214545
0,hodge,UC,4,0.4,0.5,2,0.4912003978219156,0.0,0.4912003978219156
0,hodge,UC,5,0.5,0.6000000000000001,3,0.5362363728789274,0.0,0.5362363728789274
0,hodge,UC,6,0.6000000000000001,0.7000000000000001,1,0.6400511587261732,0.0,0.6400511587261732
0,hodge,UC,7,0.7000000000000001,0.8,2,0.7375619801900598,0.0,0.7375619801900598
0,hodge,UC,8,0.8,0.9,2,0.867872942781811,0.5,0.36787294278181104
0,hodge,UC,9,0.9,1.0,2,0.999415094488812,1.0,0.0005849055111879498
1,ste_posterior_edge_uc,UC,0,0.0,0.1,2,0.012820512820512822,0.0,0.012820512820512822
1,ste_posterior_edge_uc,UC,1,0.1,0.2,3,0.1452991452991453,0.0,0.1452991452991453
1,ste_posterior_edge_uc,UC,3,0.30000000000000004,0.4,2,0.34615384615384615,0.0,0.34615384615384615
1,ste_posterior_edge_uc,UC,5,0.5,0.6000000000000001,2,0.5512820512820513,0.0,0.5512820512820513
1,ste_posterior_edge_uc,UC,7,0.7000000000000001,0.8,1,0.7435897435897436,0.0,0.7435897435897436
1,ste_posterior_edge_uc,UC,8,0.8,0.9,2,0.8974358974358975,0.5,0.39743589743589747
1,ste_posterior_edge_uc,UC,9,0.9,1.0,3,0.9743589743589745,0.6666666666666666,0.3076923076923078
1,ste_plugin_uc,UC,0,0.0,0.1,1,0.0,0.0,0.0
1,ste_plugin_uc,UC,3,0.30000000000000004,0.4,4,0.3336619649213624,0.0,0.3336619649213624
1,ste_plugin_uc,UC,4,0.4,0.5,4,0.46449205887949135,0.0,0.46449205887949135
1,ste_plugin_uc,UC,6,0.6000000000000001,0.7000000000000001,1,0.647690451914137,0.0,0.647690451914137
1,ste_plugin_uc,UC,9,0.9,1.0,5,0.9798344979097141,0.6,0.37983449790971413
1,winrate,UC,0,0.0,0.1,1,0.0,0.0,0.0
1,winrate,UC,1,0.1,0.2,2,0.14705882352941177,0.0,0.14705882352941177
1,winrate,UC,2,0.2,0.30000000000000004,1,0.25000000000000006,0.0,0.25000000000000006
1,winrate,UC,3,0.30000000000000004,0.4,1,0.3676470588235294,0.0,0.3676470588235294
1,winrate,UC,6,0.6000000000000001,0.7000000000000001,3,0.6519607843137257,0.0,0.6519607843137257
1,winrate,UC,7,0.7000000000000001,0.8,1,0.7647058823529413,0.0,0.7647058823529413
1,winrate,UC,8,0.8,0.9,4,0.8639705882352943,0.5,0.36397058823529427
1,winrate,UC,9,0.9,1.0,2,0.9779411764705883,0.5,0.4779411764705883
1,btl,UC,0,0.0,0.1,1,0.0,0.0,0.0
1,btl,UC,3,0.30000000000000004,0.4,3,0.33966465409963337,0.0,0.33966465409963337
1,btl,UC,4,0.4,0.5,1,0.4530529380571027,0.0,0.4530529380571027
1,btl,UC,6,0.6000000000000001,0.7000000000000001,3,0.6782162585725459,0.0,0.6782162585725459
1,btl,UC,7,0.7000000000000001,0.8,1,0.7723989508689516,0.0,0.7723989508689516
1,btl,UC,8,0.8,0.9,2,0.8579920624195749,0.0,0.8579920624195749
1,btl,UC,9,0.9,1.0,4,0.9333946296743518,0.75,0.18339462967435183
1,rank_centrality,UC,0,0.0,0.1,2,0.038993524247802405,0.0,0.038993524247802405
1,rank_centrality,UC,1,0.1,0.2,3,0.13853217634735823,0.0,0.13853217634735823
1,rank_centrality,UC,3,0.30000000000000004,0.4,3,0.36042285817197905,0.0,0.36042285817197905
1,rank_centrality,UC,5,0.5,0.6000000000000001,1,0.515843048270044,0.0,0.515843048270044
1,rank_centrality,UC,6,0.6000000000000001,0.7000000000000001,1,0.6152261833552556,0.0,0.6152261833552556
1,rank_centrality,UC,7,0.7000000000000001,0.8,1,0.7073352309176475,0.0,0.7073352309176475
1,rank_centrality,UC,8,0.8,0.9,2,0.8932572212383438,1.0,0.10674277876165617
1,rank_centrality,UC,9,0.9,1.0,2,0.9573473767193548,0.5,0.45734737671935477
1,hodge,UC,0,0.0,0.1,1,0.0,0.0,0.0
1,hodge,UC,2,0.2,0.30000000000000004,1,0.25615065820104765,0.0,0.25615065820104765
1,hodge,UC,3,0.30000000000000004,0.4,2,0.34099851157730077,0.0,0.34099851157730077
1,hodge,UC,4,0.4,0.5,1,0.4051692186456277,0.0,0.4051692186456277
1,hodge,UC,6,0.6000000000000001,0.7000000000000001,3,0.6537405068185101,0.0,0.6537405068185101
1,hodge,UC,7,0.7000000000000001,0.8,2,0.7733107962130196,0.0,0.7733107962130196
1,hodge,UC,8,0.8,0.9,4,0.854952326719851,0.75,0.104952326719851
1,hodge,UC,9,0.9,1.0,1,1.0,0.0,1.0
